Time, Quantity,Prototype
0,1000.0,EnrichmentFacility
1,1966.9251692523787,EnrichmentFacility
2,2933.5646924120915,EnrichmentFacility
3,3900.5994842529126,EnrichmentFacility
4,4867.482462948208,EnrichmentFacility
5,5835.603590483307,EnrichmentFacility
6,6802.479492276212,EnrichmentFacility
7,7769.723624241105,EnrichmentFacility
8,8736.907972801382,EnrichmentFacility
9,9704.300387410036,EnrichmentFacility
10,10671.830205917991,EnrichmentFacility
11,11638.29140775344,EnrichmentFacility
12,12605.371662384627,EnrichmentFacility
13,13572.657966930867,EnrichmentFacility
14,14539.441805582177,EnrichmentFacility
15,15506.635931355411,EnrichmentFacility
16,16473.297495910196,EnrichmentFacility
17,17440.201805490393,EnrichmentFacility
18,18406.500090828704,EnrichmentFacility
19,19372.906303080894,EnrichmentFacility
20,20339.97132001125,EnrichmentFacility
21,21307.081122598524,EnrichmentFacility
22,22273.73535553198,EnrichmentFacility
23,23241.036709231375,EnrichmentFacility
24,24208.030073200807,EnrichmentFacility
25,25176.313217427978,EnrichmentFacility
26,26142.6975374302,EnrichmentFacility
27,27109.55923529396,EnrichmentFacility
28,28076.12734717003,EnrichmentFacility
29,29042.85680303851,EnrichmentFacility
30,30009.853226278105,EnrichmentFacility
31,30977.050111139604,EnrichmentFacility
32,31945.374507164943,EnrichmentFacility
33,32912.442259066134,EnrichmentFacility
34,33879.37929018164,EnrichmentFacility
35,34846.37571342123,EnrichmentFacility
36,35812.581962153694,EnrichmentFacility
37,36779.163996698495,EnrichmentFacility
38,37746.06930280515,EnrichmentFacility
39,38713.063059650856,EnrichmentFacility
40,39680.633854340995,EnrichmentFacility
41,40647.358940436934,EnrichmentFacility
42,41614.717168071256,EnrichmentFacility
43,42581.29207150755,EnrichmentFacility
44,43548.85709138658,EnrichmentFacility
45,44515.85351462616,EnrichmentFacility
46,45483.6613734349,EnrichmentFacility
47,46450.619615603755,EnrichmentFacility
48,47417.99781390535,EnrichmentFacility
49,48385.13008627252,EnrichmentFacility
50,49352.674338055374,EnrichmentFacility
51,50319.02118932212,EnrichmentFacility
52,51286.84347314385,EnrichmentFacility
53,52254.48059974972,EnrichmentFacility
54,53222.48944831765,EnrichmentFacility
55,54189.485871557226,EnrichmentFacility
56,55157.21362513887,EnrichmentFacility
57,56124.25885774106,EnrichmentFacility
58,57091.178485670476,EnrichmentFacility
59,58058.44602481456,EnrichmentFacility
60,59025.63815786994,EnrichmentFacility
61,59991.77069990013,EnrichmentFacility
62,60958.86051193398,EnrichmentFacility
63,61925.444062115464,EnrichmentFacility
64,62892.03121617114,EnrichmentFacility
65,63859.367647569656,EnrichmentFacility
66,64826.55061100702,EnrichmentFacility
67,65794.32407535217,EnrichmentFacility
68,66761.30025664663,EnrichmentFacility
69,67728.05657145227,EnrichmentFacility
70,68695.64075247683,EnrichmentFacility
71,69663.45841311093,EnrichmentFacility
72,70631.09704368428,EnrichmentFacility
73,71598.36900716361,EnrichmentFacility
74,72565.104882168,EnrichmentFacility
75,73532.10130540757,EnrichmentFacility
76,74498.5010216273,EnrichmentFacility
77,75465.72900039142,EnrichmentFacility
78,76432.22668654354,EnrichmentFacility
79,77399.76847154621,EnrichmentFacility
80,78366.81375312437,EnrichmentFacility
81,79333.78082591425,EnrichmentFacility
82,80300.93358975122,EnrichmentFacility
83,81267.55363847816,EnrichmentFacility
84,82234.6354671996,EnrichmentFacility
85,83201.96897044177,EnrichmentFacility
86,84169.33762998843,EnrichmentFacility
87,85136.15314681146,EnrichmentFacility
88,86102.75380658303,EnrichmentFacility
89,87069.73838076199,EnrichmentFacility
90,88036.73480400156,EnrichmentFacility
91,89003.3909343588,EnrichmentFacility
92,89971.14069085156,EnrichmentFacility
93,90937.78823112315,EnrichmentFacility
94,91904.13642524867,EnrichmentFacility
95,92871.64550399971,EnrichmentFacility
96,93838.70510758605,EnrichmentFacility
97,94806.81637582353,EnrichmentFacility
98,95774.07631092884,EnrichmentFacility
99,96742.62681848211,EnrichmentFacility
1,33.046835084426654,LEU
2,66.38735133435381,LEU
3,99.32148020516426,LEU
4,132.4116926446298,LEU
5,164.22892777520929,LEU
6,197.3264161865716,LEU
7,230.04531630683366,LEU
8,262.825681507123,LEU
9,295.3921278716327,LEU
10,327.81730523814736,LEU
11,361.34115889645653,LEU
12,394.2285461327587,LEU
13,426.90408737936866,LEU
14,460.09622861958667,LEU
15,492.86654157911033,LEU
16,526.1843964212337,LEU
17,559.2526779493393,LEU
18,592.9440308592987,LEU
19,626.524420928628,LEU
20,659.4274744941948,LEU
21,692.2844826061078,LEU
22,725.6098753041734,LEU
23,758.2699440729377,LEU
24,791.2466661591394,LEU
25,822.8973271541759,LEU
26,856.5002252908448,LEU
27,889.612317180338,LEU
28,923.0262534753755,LEU
29,956.2743072572133,LEU
30,989.2478840176321,LEU
31,1022.0153602772042,LEU
32,1053.6236090829009,LEU
33,1086.5238507443432,LEU
34,1119.558490297735,LEU
35,1152.5320670581539,LEU
36,1186.3180455147792,LEU
37,1219.717667503821,LEU
38,1252.7849244736988,LEU
39,1285.7612426322248,LEU
40,1318.1442911783197,LEU
41,1351.3968376520852,LEU
42,1383.998432652348,LEU
43,1417.4053863441716,LEU
44,1449.7943721437507,LEU
45,1482.7679489041695,LEU
46,1514.9072648439387,LEU
47,1547.9200966883293,LEU
48,1580.5011592570604,LEU
49,1613.335065526108,LEU
50,1645.7454036173692,LEU
51,1679.3868244651221,LEU
52,1711.5113096239686,LEU
53,1743.826160372784,LEU
54,1775.7588328182298,LEU
55,1808.7324095786487,LEU
56,1840.954084063001,LEU
57,1873.8774784793711,LEU
58,1906.9300107612264,LEU
59,1939.6248452707773,LEU
60,1972.3972070022573,LEU
61,2006.2589654915396,LEU
62,2039.1365264805206,LEU
63,2072.534590198823,LEU
64,2105.928948667864,LEU
65,2138.5529530204653,LEU
66,2171.334742306439,LEU
67,2203.509420207798,LEU
68,2236.5038083084987,LEU
69,2269.7242476255606,LEU
70,2302.09353328676,LEU
71,2334.22277168105,LEU
72,2366.536076156571,LEU
73,2399.2263618766824,LEU
74,2432.4678159557416,LEU
75,2465.441392716161,LEU
76,2499.028461547929,LEU
77,2531.763969249923,LEU
78,2565.2503123071333,LEU
79,2597.66318656778,LEU
80,2630.5865306305036,LEU
81,2663.5902834531994,LEU
82,2696.403121838292,LEU
83,2729.7636603264273,LEU
84,2762.649429194173,LEU
85,2795.2764440705873,LEU
86,2827.8673137143674,LEU
87,2861.0268856927382,LEU
88,2894.4073585372767,LEU
89,2927.3931176660826,LEU
90,2960.366694426502,LEU
91,2993.690136327281,LEU
92,3025.8891889703127,LEU
93,3059.221462591273,LEU
94,3092.861502806354,LEU
95,3125.3080033281276,LEU
96,3158.216622512193,LEU
97,3190.0439942771873,LEU
98,3222.746646723097,LEU
99,3254.1224236037297,LEU
1,0.02799566319443664,delta_LEU
2,0.04795625355467741,delta_LEU
3,0.07903554192381385,delta_LEU
4,0.10584440716170374,delta_LEU
5,0.1374817414835621,delta_LEU
6,0.1640915372168381,delta_LEU
7,0.20105945206197612,delta_LEU
8,0.2363456914958303,delta_LEU
9,0.2774847183332181,delta_LEU
10,0.29248884386077706,delta_LEU
11,0.3074333501045168,delta_LEU
12,0.3397914826141124,delta_LEU
13,0.3779456897678142,delta_LEU
14,0.40196579823761874,delta_LEU
15,0.407527065477773,delta_LEU
16,0.428107668571614,delta_LEU
17,0.45551656026948223,delta_LEU
18,0.46587831199987617,delta_LEU
19,0.4792759904803948,delta_LEU
20,0.48120549456068057,delta_LEU
21,0.5143947953772037,delta_LEU
22,0.5347691638580544,delta_LEU
23,0.5733466956951894,delta_LEU
